    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
   163        4.49826        89.8607        15.0326    3.37731e+06        29.4634    6.24882e+12
   164        4.49897        89.9248        15.0326    3.37731e+06        29.4538    6.18874e+12
   165        4.49969        89.9889        15.0326    3.37731e+06        29.4441    6.12918e+12
   166         4.5004        90.0531        15.0326    3.37731e+06        29.4344    6.07013e+12
   167        4.50111        90.1174        15.0326    3.37731e+06        29.4247    6.01158e+12
   168        4.50183        90.1816        15.0326    3.37731e+06         29.415    5.95354e+12
   169        4.50254         90.246        15.0326    3.37731e+06        29.4053      5.896e+12
   170        4.50325        90.3103        15.0326    3.37731e+06        29.3956    5.83896e+12
   171        4.50397        90.3748        15.0326    3.37731e+06        29.3858    5.78241e+12
   172        4.50468        90.4392        15.0326    3.37731e+06        29.3761    5.72635e+12
   173        4.50539        90.5038        15.0326    3.37731e+06        29.3663    5.67077e+12
   174         4.5061        90.5683        15.0326    3.37731e+06        29.3566    5.61568e+12
   175        4.50682        90.6329        15.0326    3.37731e+06        29.3468    5.56107e+12
   176        4.50753        90.6976        15.0326    3.37731e+06         29.337    5.50693e+12
   177        4.50824        90.7623        15.0326    3.37731e+06        29.3272    5.45327e+12
   178        4.50896         90.827        15.0326    3.37731e+06        29.3174    5.40007e+12
   179        4.50967        90.8918        15.0326    3.37731e+06        29.3076    5.34734e+12
   180        4.51038        90.9566        15.0326    3.37731e+06        29.2978    5.29508e+12
   181         4.5111        91.0215        15.0326    3.37731e+06         29.288    5.24327e+12
   182        4.51181        91.0865        15.0326    3.37731e+06        29.2781    5.19192e+12
   183        4.51252        91.1514        15.0326    3.37731e+06        29.2683    5.14102e+12
   184        4.51324        91.2165        15.0326    3.37731e+06        29.2584    5.09057e+12
   185        4.51395        91.2815        15.0326    3.37731e+06        29.2485    5.04057e+12
   186        4.51466        91.3466        15.0326    3.37731e+06        29.2387      4.991e+12
   187        4.51537        91.4118        15.0326    3.37731e+06        29.2288    4.94188e+12
   188        4.51609         91.477        15.0326    3.37731e+06        29.2189    4.89319e+12
   189         4.5168        91.5423        15.0326    3.37731e+06         29.209    4.84494e+12
   190        4.51751        91.6076        15.0326    3.37731e+06         29.199    4.79712e+12
   191        4.51823        91.6729        15.0326    3.37731e+06        29.1891    4.74972e+12
   192        4.51894        91.7383        15.0326    3.37731e+06        29.1792    4.70274e+12
   193        4.51965        91.8037        15.0326    3.37731e+06        29.1692    4.65619e+12
   194        4.52037        91.8692        15.0326    3.37731e+06        29.1593    4.61005e+12
   195        4.52108        91.9348        15.0326    3.37731e+06        29.1493    4.56433e+12
   196        4.52179        92.0004        15.0326    3.37731e+06        29.1393    4.51902e+12
   197        4.52251         92.066        15.0326    3.37731e+06        29.1293    4.47411e+12
   198        4.52322        92.1317        15.0326    3.37731e+06        29.1193    4.42961e+12
   199        4.52393        92.1974        15.0326    3.37731e+06        29.1093    4.38551e+12
   200        4.52464        92.2631        15.0326    3.37731e+06        29.0993    4.34181e+12
   201        4.52536         92.329        15.0326    3.37731e+06        29.0893    4.29851e+12
   202        4.52607        92.3948        15.0326    3.37731e+06        29.0793    4.25559e+12
   203        4.52678        92.4607        15.0326    3.37731e+06        29.0692    4.21307e+12
   204         4.5275        92.5267        15.0326    3.37731e+06        29.0592    4.17093e+12
   205        4.52821        92.5927        15.0326    3.37731e+06        29.0491    4.12918e+12
   206        4.52892        92.6587        15.0326    3.37731e+06         29.039    4.08781e+12
   207        4.52964        92.7248        15.0326    3.37731e+06         29.029    4.04681e+12
   208        4.53035         92.791        15.0326    3.37731e+06        29.0189    4.00619e+12
   209        4.53106        92.8572        15.0326    3.37731e+06        29.0088    3.96594e+12
   210        4.53178        92.9234        15.0326    3.37731e+06        28.9987    3.92606e+12
   211        4.53249        92.9897        15.0326    3.37731e+06        28.9885    3.88655e+12
   212         4.5332         93.056        15.0326    3.37731e+06        28.9784     3.8474e+12
   213        4.53391        93.1224        15.0326    3.37731e+06        28.9683    3.80861e+12
   214        4.53463        93.1888        15.0326    3.37731e+06        28.9581    3.77018e+12
   215        4.53534        93.2553        15.0326    3.37731e+06         28.948     3.7321e+12
   216        4.53605        93.3218        15.0326    3.37731e+06        28.9378    3.69437e+12
   217        4.53677        93.3884        15.0326    3.37731e+06        28.9277    3.65699e+12
   218        4.53748         93.455        15.0326    3.37731e+06        28.9175    3.61996e+12
   219        4.53819        93.5217        15.0326    3.37731e+06        28.9073    3.58328e+12
   220        4.53891        93.5884        15.0326    3.37731e+06        28.8971    3.54693e+12
   221        4.53962        93.6552        15.0326    3.37731e+06        28.8869    3.51092e+12
   222        4.54033         93.722        15.0326    3.37731e+06        28.8767    3.47525e+12
   223        4.54105        93.7888        15.0326    3.37731e+06        28.8665    3.43991e+12
   224        4.54176        93.8557        15.0326    3.37731e+06        28.8562     3.4049e+12
   225        4.54247        93.9227        15.0326    3.37731e+06         28.846    3.37022e+12
   226        4.54319        93.9897        15.0326    3.37731e+06        28.8358    3.33587e+12
   227         4.5439        94.0567        15.0326    3.37731e+06        28.8255    3.30183e+12
   228        4.54461        94.1238        15.0326    3.37731e+06        28.8152    3.26812e+12
   229        4.54532         94.191        15.0326    3.37731e+06         28.805    3.23472e+12
   230        4.54604        94.2582        15.0326    3.37731e+06        28.7947    3.20164e+12
   231        4.54675        94.3254        15.0326    3.37731e+06        28.7844    3.16887e+12
   232        4.54746        94.3927        15.0326    3.37731e+06        28.7741    3.13641e+12
   233        4.54818          94.46        15.0326    3.37731e+06        28.7638    3.10425e+12
   234        4.54889        94.5274        15.0326    3.37731e+06        28.7535     3.0724e+12
   235         4.5496        94.5948        15.0326    3.37731e+06        28.7432    3.04085e+12
   236        4.55032        94.6623        15.0326    3.37731e+06        28.7328    3.00961e+12
   237        4.55103        94.7298        15.0326    3.37731e+06        28.7225    2.97866e+12
   238        4.55174        94.7974        15.0326    3.37731e+06        28.7121      2.948e+12
   239        4.55246         94.865        15.0326    3.37731e+06        28.7018    2.91763e+12
   240        4.55317        94.9327        15.0326    3.37731e+06        28.6914    2.88756e+12
   241        4.55388        95.0004        15.0326    3.37731e+06        28.6811    2.85777e+12
   242        4.55459        95.0682        15.0326    3.37731e+06        28.6707    2.82827e+12
   243        4.55531         95.136        15.0326    3.37731e+06        28.6603    2.79905e+12
   244        4.55602        95.2039        15.0326    3.37731e+06        28.6499    2.77011e+12
   245        4.55673        95.2718        15.0326    3.37731e+06        28.6395    2.74145e+12
   246        4.55745        95.3398        15.0326    3.37731e+06        28.6291    2.71306e+12
   247        4.55816        95.4078        15.0326    3.37731e+06        28.6187    2.68495e+12
   248        4.55887        95.4758        15.0326    3.37731e+06        28.6083     2.6571e+12
   249        4.55959        95.5439        15.0326    3.37731e+06        28.5978    2.62953e+12
   250         4.5603        95.6121        15.0326    3.37731e+06        28.5874    2.60222e+12
   251        4.56101        95.6803        15.0326    3.37731e+06        28.5769    2.57518e+12
   252        4.56173        95.7485        15.0326    3.37731e+06        28.5665     2.5484e+12
   253        4.56244        95.8168        15.0326    3.37731e+06         28.556    2.52187e+12
   254        4.56315        95.8852        15.0326    3.37731e+06        28.5456    2.49561e+12
   255        4.56386        95.9536        15.0326    3.37731e+06        28.5351     2.4696e+12
   256        4.56458         96.022        15.0326    3.37731e+06        28.5246    2.44384e+12
   257        4.56529        96.0905        15.0326    3.37731e+06        28.5141    2.41834e+12
   258          4.566        96.1591        15.0326    3.37731e+06        28.5036    2.39308e+12
   259        4.56672        96.2277        15.0326    3.37731e+06        28.4931    2.36807e+12
   260        4.56743        96.2963        15.0326    3.37731e+06        28.4826    2.34331e+12
   261        4.56814         96.365        15.0326    3.37731e+06        28.4721    2.31878e+12
   262        4.56886        96.4338        15.0326    3.37731e+06        28.4615     2.2945e+12
   263        4.56957        96.5026        15.0326    3.37731e+06         28.451    2.27046e+12
   264        4.57028        96.5714        15.0326    3.37731e+06        28.4405    2.24665e+12
   265          4.571        96.6403        15.0326    3.37731e+06        28.4299    2.22307e+12
   266        4.57171        96.7092        15.0326    3.37731e+06        28.4194    2.19973e+12
   267        4.57242        96.7782        15.0326    3.37731e+06        28.4088    2.17662e+12
   268        4.57313        96.8472        15.0326    3.37731e+06        28.3982    2.15374e+12
   269        4.57385        96.9163        15.0326    3.37731e+06        28.3876    2.13108e+12
   270        4.57456        96.9855        15.0326    3.37731e+06        28.3771    2.10864e+12
   271        4.57527        97.0546        15.0326    3.37731e+06        28.3665    2.08643e+12
   272        4.57599        97.1239        15.0326    3.37731e+06        28.3559    2.06444e+12
   273         4.5767        97.1932        15.0326    3.37731e+06        28.3453    2.04267e+12
   274        4.57741        97.2625        15.0326    3.37731e+06        28.3347    2.02111e+12
   275        4.57813        97.3319        15.0326    3.37731e+06        28.3241    1.99976e+12
   276        4.57884        97.4013        15.0326    3.37731e+06        28.3134    1.97863e+12
   277        4.57955        97.4708        15.0326    3.37731e+06        28.3028    1.95771e+12
   278        4.58027        97.5403        15.0326    3.37731e+06        28.2922      1.937e+12
   279        4.58098        97.6099        15.0326    3.37731e+06        28.2815     1.9165e+12
   280        4.58169        97.6795        15.0326    3.37731e+06        28.2709     1.8962e+12
   281        4.58241        97.7492        15.0326    3.37731e+06        28.2602     1.8761e+12
   282        4.58312        97.8189        15.0326    3.37731e+06        28.2496    1.85621e+12
   283        4.58383        97.8887        15.0326    3.37731e+06        28.2389    1.83651e+12
   284        4.58454        97.9585        15.0326    3.37731e+06        28.2282    1.81701e+12
   285        4.58526        98.0284        15.0326    3.37731e+06        28.2175    1.79771e+12
