    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
     0        4.38203             80        15.1721    3.88308e+06        30.8891        2.6e+13
     1        4.38274        80.0571        15.1721    3.88308e+06        30.8813    2.57978e+13
     2        4.38345        80.1142        15.1721    3.88308e+06        30.8735    2.55968e+13
     3        4.38417        80.1713        15.1721    3.88308e+06        30.8657    2.53971e+13
     4        4.38488        80.2285        15.1721    3.88308e+06        30.8578    2.51987e+13
     5        4.38559        80.2857        15.1721    3.88308e+06          30.85    2.50016e+13
     6        4.38631         80.343        15.1721    3.88308e+06        30.8421    2.48056e+13
     7        4.38702        80.4003        15.1721    3.88308e+06        30.8342     2.4611e+13
     8        4.38773        80.4577        15.1721    3.88308e+06        30.8263    2.44176e+13
     9        4.38844        80.5151        15.1721    3.88308e+06        30.8184    2.42254e+13
    10        4.38916        80.5725        15.1721    3.88308e+06        30.8105    2.40344e+13
    11        4.38987          80.63        15.1721    3.88308e+06        30.8026    2.38447e+13
    12        4.39058        80.6875        15.1721    3.88308e+06        30.7946    2.36562e+13
    13         4.3913        80.7451        15.1721    3.88308e+06        30.7867    2.34689e+13
    14        4.39201        80.8027        15.1721    3.88308e+06        30.7787    2.32829e+13
    15        4.39272        80.8603        15.1721    3.88308e+06        30.7708     2.3098e+13
    16        4.39344         80.918        15.1721    3.88308e+06        30.7628    2.29143e+13
    17        4.39415        80.9757        15.1721    3.88308e+06        30.7548    2.27318e+13
    18        4.39486        81.0335        15.1721    3.88308e+06        30.7468    2.25506e+13
    19        4.39558        81.0913        15.1721    3.88308e+06        30.7388    2.23705e+13
    20        4.39629        81.1491        15.1721    3.88308e+06        30.7307    2.21915e+13
    21          4.397         81.207        15.1721    3.88308e+06        30.7227    2.20138e+13
    22        4.39771        81.2649        15.1721    3.88308e+06        30.7146    2.18372e+13
    23        4.39843        81.3229        15.1721    3.88308e+06        30.7066    2.16618e+13
    24        4.39914        81.3809        15.1721    3.88308e+06        30.6985    2.14875e+13
    25        4.39985         81.439        15.1721    3.88308e+06        30.6904    2.13144e+13
    26        4.40057        81.4971        15.1721    3.88308e+06        30.6823    2.11424e+13
    27        4.40128        81.5552        15.1721    3.88308e+06        30.6742    2.09716e+13
    28        4.40199        81.6134        15.1721    3.88308e+06        30.6661    2.08019e+13
    29        4.40271        81.6716        15.1721    3.88308e+06        30.6579    2.06334e+13
    30        4.40342        81.7299        15.1721    3.88308e+06        30.6498    2.04659e+13
    31        4.40413        81.7882        15.1721    3.88308e+06        30.6416    2.02996e+13
    32        4.40485        81.8465        15.1721    3.88308e+06        30.6335    2.01344e+13
    33        4.40556        81.9049        15.1721    3.88308e+06        30.6253    1.99703e+13
    34        4.40627        81.9633        15.1721    3.88308e+06        30.6171    1.98074e+13
    35        4.40698        82.0218        15.1721    3.88308e+06        30.6089    1.96455e+13
    36         4.4077        82.0803        15.1721    3.88308e+06        30.6007    1.94847e+13
    37        4.40841        82.1388        15.1721    3.88308e+06        30.5924     1.9325e+13
    38        4.40912        82.1974        15.1721    3.88308e+06        30.5842    1.91664e+13
    39        4.40984        82.2561        15.1721    3.88308e+06        30.5759    1.90089e+13
    40        4.41055        82.3147        15.1721    3.88308e+06        30.5677    1.88524e+13
    41        4.41126        82.3735        15.1721    3.88308e+06        30.5594     1.8697e+13
    42        4.41198        82.4322        15.1721    3.88308e+06        30.5511    1.85427e+13
    43        4.41269         82.491        15.1721    3.88308e+06        30.5428    1.83894e+13
    44         4.4134        82.5499        15.1721    3.88308e+06        30.5345    1.82372e+13
    45        4.41412        82.6088        15.1721    3.88308e+06        30.5262     1.8086e+13
    46        4.41483        82.6677        15.1721    3.88308e+06        30.5178    1.79359e+13
    47        4.41554        82.7267        15.1721    3.88308e+06        30.5095    1.77868e+13
    48        4.41625        82.7857        15.1721    3.88308e+06        30.5011    1.76387e+13
    49        4.41697        82.8447        15.1721    3.88308e+06        30.4927    1.74917e+13
    50        4.41768        82.9038        15.1721    3.88308e+06        30.4844    1.73457e+13
    51        4.41839         82.963        15.1721    3.88308e+06         30.476    1.72007e+13
    52        4.41911        83.0221        15.1721    3.88308e+06        30.4676    1.70567e+13
    53        4.41982        83.0814        15.1721    3.88308e+06        30.4591    1.69138e+13
    54        4.42053        83.1406        15.1721    3.88308e+06        30.4507    1.67718e+13
    55        4.42125        83.1999        15.1721    3.88308e+06        30.4423    1.66308e+13
    56        4.42196        83.2593        15.1721    3.88308e+06        30.4338    1.64908e+13
    57        4.42267        83.3187        15.1721    3.88308e+06        30.4254    1.63519e+13
    58        4.42339        83.3781        15.1721    3.88308e+06        30.4169    1.62138e+13
    59         4.4241        83.4376        15.1721    3.88308e+06        30.4084    1.60768e+13
    60        4.42481        83.4971        15.1721    3.88308e+06        30.3999    1.59407e+13
    61        4.42553        83.5567        15.1721    3.88308e+06        30.3914    1.58056e+13
    62        4.42624        83.6163        15.1721    3.88308e+06        30.3829    1.56715e+13
    63        4.42695        83.6759        15.1721    3.88308e+06        30.3743    1.55383e+13
    64        4.42766        83.7356        15.1721    3.88308e+06        30.3658    1.54061e+13
    65        4.42838        83.7954        15.1721    3.88308e+06        30.3572    1.52748e+13
    66        4.42909        83.8551        15.1721    3.88308e+06        30.3487    1.51445e+13
    67         4.4298        83.9149        15.1721    3.88308e+06        30.3401    1.50151e+13
    68        4.43052        83.9748        15.1721    3.88308e+06        30.3315    1.48866e+13
    69        4.43123        84.0347        15.1721    3.88308e+06        30.3229    1.47591e+13
