    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
     0        4.38203             80        15.2835    4.34059e+06        30.8891        2.6e+13
     1        4.38274        80.0571        15.2835    4.34059e+06        30.8813    2.57984e+13
     2        4.38345        80.1142        15.2835    4.34059e+06        30.8735    2.55981e+13
     3        4.38417        80.1713        15.2835    4.34059e+06        30.8657     2.5399e+13
     4        4.38488        80.2285        15.2835    4.34059e+06        30.8579    2.52012e+13
     5        4.38559        80.2857        15.2835    4.34059e+06        30.8501    2.50047e+13
     6        4.38631         80.343        15.2835    4.34059e+06        30.8422    2.48093e+13
     7        4.38702        80.4003        15.2835    4.34059e+06        30.8344    2.46152e+13
     8        4.38773        80.4577        15.2835    4.34059e+06        30.8265    2.44224e+13
     9        4.38844        80.5151        15.2835    4.34059e+06        30.8186    2.42307e+13
    10        4.38916        80.5725        15.2835    4.34059e+06        30.8108    2.40403e+13
    11        4.38987          80.63        15.2835    4.34059e+06        30.8029    2.38511e+13
    12        4.39058        80.6875        15.2835    4.34059e+06        30.7949    2.36631e+13
    13         4.3913        80.7451        15.2835    4.34059e+06         30.787    2.34763e+13
    14        4.39201        80.8027        15.2835    4.34059e+06        30.7791    2.32907e+13
    15        4.39272        80.8603        15.2835    4.34059e+06        30.7711    2.31063e+13
    16        4.39344         80.918        15.2835    4.34059e+06        30.7632    2.29231e+13
    17        4.39415        80.9757        15.2835    4.34059e+06        30.7552    2.27411e+13
    18        4.39486        81.0335        15.2835    4.34059e+06        30.7472    2.25602e+13
    19        4.39558        81.0913        15.2835    4.34059e+06        30.7392    2.23805e+13
    20        4.39629        81.1491        15.2835    4.34059e+06        30.7312     2.2202e+13
    21          4.397         81.207        15.2835    4.34059e+06        30.7232    2.20247e+13
    22        4.39771        81.2649        15.2835    4.34059e+06        30.7152    2.18485e+13
    23        4.39843        81.3229        15.2835    4.34059e+06        30.7071    2.16734e+13
    24        4.39914        81.3809        15.2835    4.34059e+06        30.6991    2.14995e+13
    25        4.39985         81.439        15.2835    4.34059e+06         30.691    2.13268e+13
    26        4.40057        81.4971        15.2835    4.34059e+06        30.6829    2.11551e+13
    27        4.40128        81.5552        15.2835    4.34059e+06        30.6748    2.09846e+13
    28        4.40199        81.6134        15.2835    4.34059e+06        30.6667    2.08153e+13
    29        4.40271        81.6716        15.2835    4.34059e+06        30.6586     2.0647e+13
    30        4.40342        81.7299        15.2835    4.34059e+06        30.6505    2.04799e+13
    31        4.40413        81.7882        15.2835    4.34059e+06        30.6423    2.03139e+13
    32        4.40485        81.8465        15.2835    4.34059e+06        30.6342     2.0149e+13
    33        4.40556        81.9049        15.2835    4.34059e+06         30.626    1.99852e+13
    34        4.40627        81.9633        15.2835    4.34059e+06        30.6178    1.98225e+13
    35        4.40698        82.0218        15.2835    4.34059e+06        30.6097    1.96609e+13
    36         4.4077        82.0803        15.2835    4.34059e+06        30.6015    1.95003e+13
    37        4.40841        82.1388        15.2835    4.34059e+06        30.5932    1.93409e+13
    38        4.40912        82.1974        15.2835    4.34059e+06         30.585    1.91825e+13
    39        4.40984        82.2561        15.2835    4.34059e+06        30.5768    1.90252e+13
    40        4.41055        82.3147        15.2835    4.34059e+06        30.5685    1.88689e+13
    41        4.41126        82.3735        15.2835    4.34059e+06        30.5603    1.87137e+13
    42        4.41198        82.4322        15.2835    4.34059e+06         30.552    1.85596e+13
    43        4.41269         82.491        15.2835    4.34059e+06        30.5437    1.84065e+13
    44         4.4134        82.5499        15.2835    4.34059e+06        30.5354    1.82545e+13
    45        4.41412        82.6088        15.2835    4.34059e+06        30.5271    1.81035e+13
    46        4.41483        82.6677        15.2835    4.34059e+06        30.5188    1.79536e+13
    47        4.41554        82.7267        15.2835    4.34059e+06        30.5105    1.78046e+13
    48        4.41625        82.7857        15.2835    4.34059e+06        30.5021    1.76567e+13
    49        4.41697        82.8447        15.2835    4.34059e+06        30.4938    1.75099e+13
    50        4.41768        82.9038        15.2835    4.34059e+06        30.4854     1.7364e+13
    51        4.41839         82.963        15.2835    4.34059e+06         30.477    1.72191e+13
    52        4.41911        83.0221        15.2835    4.34059e+06        30.4687    1.70753e+13
    53        4.41982        83.0814        15.2835    4.34059e+06        30.4603    1.69324e+13
    54        4.42053        83.1406        15.2835    4.34059e+06        30.4518    1.67906e+13
    55        4.42125        83.1999        15.2835    4.34059e+06        30.4434    1.66497e+13
    56        4.42196        83.2593        15.2835    4.34059e+06         30.435    1.65098e+13
    57        4.42267        83.3187        15.2835    4.34059e+06        30.4265     1.6371e+13
    58        4.42339        83.3781        15.2835    4.34059e+06        30.4181     1.6233e+13
    59         4.4241        83.4376        15.2835    4.34059e+06        30.4096    1.60961e+13
    60        4.42481        83.4971        15.2835    4.34059e+06        30.4011    1.59601e+13
    61        4.42553        83.5567        15.2835    4.34059e+06        30.3926    1.58251e+13
    62        4.42624        83.6163        15.2835    4.34059e+06        30.3841     1.5691e+13
    63        4.42695        83.6759        15.2835    4.34059e+06        30.3756    1.55579e+13
    64        4.42766        83.7356        15.2835    4.34059e+06        30.3671    1.54257e+13
    65        4.42838        83.7954        15.2835    4.34059e+06        30.3585    1.52945e+13
    66        4.42909        83.8551        15.2835    4.34059e+06          30.35    1.51642e+13
    67         4.4298        83.9149        15.2835    4.34059e+06        30.3414    1.50349e+13
    68        4.43052        83.9748        15.2835    4.34059e+06        30.3328    1.49064e+13
    69        4.43123        84.0347        15.2835    4.34059e+06        30.3242    1.47789e+13
    70        4.43194        84.0947        15.2835    4.34059e+06        30.3156    1.46523e+13
    71        4.43266        84.1546        15.2835    4.34059e+06         30.307    1.45267e+13
    72        4.43337        84.2147        15.2835    4.34059e+06        30.2984    1.44019e+13
    73        4.43408        84.2747        15.2835    4.34059e+06        30.2897     1.4278e+13
    74         4.4348        84.3349        15.2835    4.34059e+06        30.2811    1.41551e+13
    75        4.43551         84.395        15.2835    4.34059e+06        30.2724     1.4033e+13
    76        4.43622        84.4552        15.2835    4.34059e+06        30.2638    1.39118e+13
    77        4.43693        84.5155        15.2835    4.34059e+06        30.2551    1.37915e+13
    78        4.43765        84.5758        15.2835    4.34059e+06        30.2464    1.36721e+13
    79        4.43836        84.6361        15.2835    4.34059e+06        30.2377    1.35535e+13
    80        4.43907        84.6965        15.2835    4.34059e+06        30.2289    1.34359e+13
    81        4.43979        84.7569        15.2835    4.34059e+06        30.2202    1.33191e+13
    82         4.4405        84.8173        15.2835    4.34059e+06        30.2115    1.32031e+13
    83        4.44121        84.8778        15.2835    4.34059e+06        30.2027     1.3088e+13
    84        4.44193        84.9384        15.2835    4.34059e+06         30.194    1.29738e+13
    85        4.44264         84.999        15.2835    4.34059e+06        30.1852    1.28604e+13
    86        4.44335        85.0596        15.2835    4.34059e+06        30.1764    1.27478e+13
    87        4.44407        85.1203        15.2835    4.34059e+06        30.1676    1.26361e+13
    88        4.44478         85.181        15.2835    4.34059e+06        30.1588    1.25252e+13
    89        4.44549        85.2418        15.2835    4.34059e+06        30.1499    1.24152e+13
    90         4.4462        85.3026        15.2835    4.34059e+06        30.1411    1.23059e+13
    91        4.44692        85.3634        15.2835    4.34059e+06        30.1323    1.21975e+13
    92        4.44763        85.4243        15.2835    4.34059e+06        30.1234    1.20899e+13
    93        4.44834        85.4853        15.2835    4.34059e+06        30.1145    1.19832e+13
    94        4.44906        85.5462        15.2835    4.34059e+06        30.1056    1.18772e+13
    95        4.44977        85.6073        15.2835    4.34059e+06        30.0967     1.1772e+13
    96        4.45048        85.6683        15.2835    4.34059e+06        30.0878    1.16676e+13
    97         4.4512        85.7295        15.2835    4.34059e+06        30.0789     1.1564e+13
    98        4.45191        85.7906        15.2835    4.34059e+06          30.07    1.14612e+13
    99        4.45262        85.8518        15.2835    4.34059e+06         30.061    1.13592e+13
   100        4.45334         85.913        15.2835    4.34059e+06        30.0521    1.12579e+13
   101        4.45405        85.9743        15.2835    4.34059e+06        30.0431    1.11575e+13
   102        4.45476        86.0357        15.2835    4.34059e+06        30.0342    1.10578e+13
   103        4.45547         86.097        15.2835    4.34059e+06        30.0252    1.09588e+13
   104        4.45619        86.1585        15.2835    4.34059e+06        30.0162    1.08606e+13
   105         4.4569        86.2199        15.2835    4.34059e+06        30.0072    1.07632e+13
   106        4.45761        86.2814        15.2835    4.34059e+06        29.9981    1.06665e+13
   107        4.45833         86.343        15.2835    4.34059e+06        29.9891    1.05706e+13
   108        4.45904        86.4046        15.2835    4.34059e+06        29.9801    1.04754e+13
   109        4.45975        86.4662        15.2835    4.34059e+06         29.971     1.0381e+13
   110        4.46047        86.5279        15.2835    4.34059e+06        29.9619    1.02873e+13
   111        4.46118        86.5896        15.2835    4.34059e+06        29.9528    1.01943e+13
   112        4.46189        86.6514        15.2835    4.34059e+06        29.9438     1.0102e+13
   113        4.46261        86.7132        15.2835    4.34059e+06        29.9347    1.00105e+13
   114        4.46332         86.775        15.2835    4.34059e+06        29.9255    9.91969e+12
   115        4.46403        86.8369        15.2835    4.34059e+06        29.9164    9.82958e+12
   116        4.46475        86.8989        15.2835    4.34059e+06        29.9073    9.74018e+12
   117        4.46546        86.9609        15.2835    4.34059e+06        29.8981    9.65149e+12
   118        4.46617        87.0229        15.2835    4.34059e+06         29.889    9.56349e+12
   119        4.46688         87.085        15.2835    4.34059e+06        29.8798    9.47619e+12
   120         4.4676        87.1471        15.2835    4.34059e+06        29.8706    9.38959e+12
   121        4.46831        87.2093        15.2835    4.34059e+06        29.8614    9.30366e+12
   122        4.46902        87.2715        15.2835    4.34059e+06        29.8522    9.21842e+12
   123        4.46974        87.3337        15.2835    4.34059e+06         29.843    9.13386e+12
   124        4.47045         87.396        15.2835    4.34059e+06        29.8338    9.04997e+12
   125        4.47116        87.4584        15.2835    4.34059e+06        29.8245    8.96676e+12
   126        4.47188        87.5208        15.2835    4.34059e+06        29.8153     8.8842e+12
   127        4.47259        87.5832        15.2835    4.34059e+06         29.806    8.80231e+12
   128         4.4733        87.6457        15.2835    4.34059e+06        29.7968    8.72108e+12
   129        4.47402        87.7082        15.2835    4.34059e+06        29.7875     8.6405e+12
   130        4.47473        87.7708        15.2835    4.34059e+06        29.7782    8.56057e+12
   131        4.47544        87.8334        15.2835    4.34059e+06        29.7689    8.48128e+12
   132        4.47615         87.896        15.2835    4.34059e+06        29.7596    8.40264e+12
   133        4.47687        87.9587        15.2835    4.34059e+06        29.7502    8.32463e+12
   134        4.47758        88.0215        15.2835    4.34059e+06        29.7409    8.24726e+12
   135        4.47829        88.0843        15.2835    4.34059e+06        29.7316    8.17051e+12
   136        4.47901        88.1471        15.2835    4.34059e+06        29.7222    8.09439e+12
   137        4.47972          88.21        15.2835    4.34059e+06        29.7128    8.01889e+12
   138        4.48043        88.2729        15.2835    4.34059e+06        29.7034    7.94401e+12
   139        4.48115        88.3359        15.2835    4.34059e+06         29.694    7.86974e+12
   140        4.48186        88.3989        15.2835    4.34059e+06        29.6846    7.79608e+12
   141        4.48257        88.4619        15.2835    4.34059e+06        29.6752    7.72303e+12
   142        4.48329         88.525        15.2835    4.34059e+06        29.6658    7.65057e+12
   143          4.484        88.5882        15.2835    4.34059e+06        29.6564    7.57872e+12
   144        4.48471        88.6514        15.2835    4.34059e+06        29.6469    7.50745e+12
   145        4.48542        88.7146        15.2835    4.34059e+06        29.6375    7.43678e+12
   146        4.48614        88.7779        15.2835    4.34059e+06         29.628    7.36669e+12
   147        4.48685        88.8412        15.2835    4.34059e+06        29.6185    7.29718e+12
   148        4.48756        88.9046        15.2835    4.34059e+06         29.609    7.22825e+12
   149        4.48828         88.968        15.2835    4.34059e+06        29.5995     7.1599e+12
   150        4.48899        89.0315        15.2835    4.34059e+06          29.59    7.09211e+12
   151         4.4897         89.095        15.2835    4.34059e+06        29.5805    7.02489e+12
   152        4.49042        89.1586        15.2835    4.34059e+06        29.5709    6.95824e+12
   153        4.49113        89.2222        15.2835    4.34059e+06        29.5614    6.89214e+12
   154        4.49184        89.2858        15.2835    4.34059e+06        29.5518     6.8266e+12
   155        4.49256        89.3495        15.2835    4.34059e+06        29.5423    6.76161e+12
   156        4.49327        89.4132        15.2835    4.34059e+06        29.5327    6.69716e+12
   157        4.49398         89.477        15.2835    4.34059e+06        29.5231    6.63327e+12
   158        4.49469        89.5409        15.2835    4.34059e+06        29.5135    6.56991e+12
   159        4.49541        89.6047        15.2835    4.34059e+06        29.5039    6.50708e+12
   160        4.49612        89.6686        15.2835    4.34059e+06        29.4943    6.44479e+12
   161        4.49683        89.7326        15.2835    4.34059e+06        29.4847    6.38303e+12
   162        4.49755        89.7966        15.2835    4.34059e+06         29.475     6.3218e+12
   163        4.49826        89.8607        15.2835    4.34059e+06        29.4654    6.26109e+12
   164        4.49897        89.9248        15.2835    4.34059e+06        29.4557    6.20089e+12
   165        4.49969        89.9889        15.2835    4.34059e+06         29.446    6.14121e+12
   166         4.5004        90.0531        15.2835    4.34059e+06        29.4364    6.08205e+12
   167        4.50111        90.1174        15.2835    4.34059e+06        29.4267    6.02339e+12
   168        4.50183        90.1816        15.2835    4.34059e+06         29.417    5.96523e+12
   169        4.50254         90.246        15.2835    4.34059e+06        29.4073    5.90757e+12
   170        4.50325        90.3103        15.2835    4.34059e+06        29.3975    5.85042e+12
   171        4.50397        90.3748        15.2835    4.34059e+06        29.3878    5.79375e+12
   172        4.50468        90.4392        15.2835    4.34059e+06        29.3781    5.73758e+12
   173        4.50539        90.5038        15.2835    4.34059e+06        29.3683    5.68189e+12
   174         4.5061        90.5683        15.2835    4.34059e+06        29.3585    5.62669e+12
   175        4.50682        90.6329        15.2835    4.34059e+06        29.3488    5.57196e+12
   176        4.50753        90.6976        15.2835    4.34059e+06         29.339    5.51771e+12
   177        4.50824        90.7623        15.2835    4.34059e+06        29.3292    5.46394e+12
   178        4.50896         90.827        15.2835    4.34059e+06        29.3194    5.41063e+12
   179        4.50967        90.8918        15.2835    4.34059e+06        29.3096    5.35779e+12
   180        4.51038        90.9566        15.2835    4.34059e+06        29.2997    5.30542e+12
   181         4.5111        91.0215        15.2835    4.34059e+06        29.2899     5.2535e+12
   182        4.51181        91.0865        15.2835    4.34059e+06        29.2801    5.20204e+12
   183        4.51252        91.1514        15.2835    4.34059e+06        29.2702    5.15103e+12
   184        4.51324        91.2165        15.2835    4.34059e+06        29.2604    5.10047e+12
   185        4.51395        91.2815        15.2835    4.34059e+06        29.2505    5.05036e+12
   186        4.51466        91.3466        15.2835    4.34059e+06        29.2406    5.00069e+12
   187        4.51537        91.4118        15.2835    4.34059e+06        29.2307    4.95146e+12
   188        4.51609         91.477        15.2835    4.34059e+06        29.2208    4.90267e+12
   189         4.5168        91.5423        15.2835    4.34059e+06        29.2109    4.85431e+12
   190        4.51751        91.6076        15.2835    4.34059e+06         29.201    4.80638e+12
   191        4.51823        91.6729        15.2835    4.34059e+06         29.191    4.75888e+12
