    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
     0        4.38203             80        15.3766    4.76379e+06        30.8891        2.6e+13
     1        4.38274        80.0571        15.3766    4.76379e+06        30.8813    2.57984e+13
     2        4.38345        80.1142        15.3766    4.76379e+06        30.8735    2.55981e+13
     3        4.38417        80.1713        15.3766    4.76379e+06        30.8657     2.5399e+13
     4        4.38488        80.2285        15.3766    4.76379e+06        30.8579    2.52012e+13
     5        4.38559        80.2857        15.3766    4.76379e+06        30.8501    2.50047e+13
     6        4.38631         80.343        15.3766    4.76379e+06        30.8422    2.48093e+13
     7        4.38702        80.4003        15.3766    4.76379e+06        30.8344    2.46152e+13
     8        4.38773        80.4577        15.3766    4.76379e+06        30.8265    2.44224e+13
     9        4.38844        80.5151        15.3766    4.76379e+06        30.8186    2.42307e+13
    10        4.38916        80.5725        15.3766    4.76379e+06        30.8108    2.40403e+13
    11        4.38987          80.63        15.3766    4.76379e+06        30.8029    2.38511e+13
    12        4.39058        80.6875        15.3766    4.76379e+06        30.7949    2.36631e+13
    13         4.3913        80.7451        15.3766    4.76379e+06         30.787    2.34763e+13
    14        4.39201        80.8027        15.3766    4.76379e+06        30.7791    2.32907e+13
    15        4.39272        80.8603        15.3766    4.76379e+06        30.7711    2.31063e+13
    16        4.39344         80.918        15.3766    4.76379e+06        30.7632    2.29231e+13
    17        4.39415        80.9757        15.3766    4.76379e+06        30.7552    2.27411e+13
    18        4.39486        81.0335        15.3766    4.76379e+06        30.7472    2.25602e+13
    19        4.39558        81.0913        15.3766    4.76379e+06        30.7392    2.23805e+13
    20        4.39629        81.1491        15.3766    4.76379e+06        30.7312     2.2202e+13
    21          4.397         81.207        15.3766    4.76379e+06        30.7232    2.20247e+13
    22        4.39771        81.2649        15.3766    4.76379e+06        30.7152    2.18485e+13
    23        4.39843        81.3229        15.3766    4.76379e+06        30.7071    2.16734e+13
    24        4.39914        81.3809        15.3766    4.76379e+06        30.6991    2.14995e+13
    25        4.39985         81.439        15.3766    4.76379e+06         30.691    2.13268e+13
    26        4.40057        81.4971        15.3766    4.76379e+06        30.6829    2.11551e+13
    27        4.40128        81.5552        15.3766    4.76379e+06        30.6748    2.09846e+13
    28        4.40199        81.6134        15.3766    4.76379e+06        30.6667    2.08153e+13
    29        4.40271        81.6716        15.3766    4.76379e+06        30.6586     2.0647e+13
    30        4.40342        81.7299        15.3766    4.76379e+06        30.6505    2.04799e+13
    31        4.40413        81.7882        15.3766    4.76379e+06        30.6423    2.03139e+13
    32        4.40485        81.8465        15.3766    4.76379e+06        30.6342     2.0149e+13
    33        4.40556        81.9049        15.3766    4.76379e+06         30.626    1.99852e+13
    34        4.40627        81.9633        15.3766    4.76379e+06        30.6178    1.98225e+13
    35        4.40698        82.0218        15.3766    4.76379e+06        30.6097    1.96609e+13
    36         4.4077        82.0803        15.3766    4.76379e+06        30.6015    1.95003e+13
    37        4.40841        82.1388        15.3766    4.76379e+06        30.5932    1.93409e+13
    38        4.40912        82.1974        15.3766    4.76379e+06         30.585    1.91825e+13
    39        4.40984        82.2561        15.3766    4.76379e+06        30.5768    1.90252e+13
    40        4.41055        82.3147        15.3766    4.76379e+06        30.5685    1.88689e+13
    41        4.41126        82.3735        15.3766    4.76379e+06        30.5603    1.87137e+13
    42        4.41198        82.4322        15.3766    4.76379e+06         30.552    1.85596e+13
    43        4.41269         82.491        15.3766    4.76379e+06        30.5437    1.84065e+13
    44         4.4134        82.5499        15.3766    4.76379e+06        30.5354    1.82545e+13
