    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
     0        4.38203             80        17.5068    4.00983e+07        30.8891        2.6e+13
     1        4.38274        80.0571        17.5068    4.00983e+07        30.8813    2.57981e+13
     2        4.38345        80.1142        17.5068    4.00983e+07        30.8735    2.55975e+13
     3        4.38417        80.1713        17.5068    4.00983e+07        30.8657    2.53981e+13
     4        4.38488        80.2285        17.5068    4.00983e+07        30.8579       2.52e+13
     5        4.38559        80.2857        17.5068    4.00983e+07          30.85    2.50032e+13
     6        4.38631         80.343        17.5068    4.00983e+07        30.8422    2.48075e+13
     7        4.38702        80.4003        17.5068    4.00983e+07        30.8343    2.46132e+13
     8        4.38773        80.4577        17.5068    4.00983e+07        30.8264      2.442e+13
     9        4.38844        80.5151        17.5068    4.00983e+07        30.8185    2.42281e+13
    10        4.38916        80.5725        17.5068    4.00983e+07        30.8106    2.40375e+13
    11        4.38987          80.63        17.5068    4.00983e+07        30.8027     2.3848e+13
    12        4.39058        80.6875        17.5068    4.00983e+07        30.7948    2.36598e+13
    13         4.3913        80.7451        17.5068    4.00983e+07        30.7869    2.34727e+13
    14        4.39201        80.8027        17.5068    4.00983e+07        30.7789    2.32869e+13
    15        4.39272        80.8603        17.5068    4.00983e+07         30.771    2.31023e+13
    16        4.39344         80.918        17.5068    4.00983e+07         30.763    2.29188e+13
    17        4.39415        80.9757        17.5068    4.00983e+07         30.755    2.27366e+13
    18        4.39486        81.0335        17.5068    4.00983e+07         30.747    2.25555e+13
    19        4.39558        81.0913        17.5068    4.00983e+07         30.739    2.23756e+13
    20        4.39629        81.1491        17.5068    4.00983e+07         30.731    2.21969e+13
    21          4.397         81.207        17.5068    4.00983e+07        30.7229    2.20194e+13
    22        4.39771        81.2649        17.5068    4.00983e+07        30.7149     2.1843e+13
    23        4.39843        81.3229        17.5068    4.00983e+07        30.7068    2.16678e+13
    24        4.39914        81.3809        17.5068    4.00983e+07        30.6988    2.14937e+13
    25        4.39985         81.439        17.5068    4.00983e+07        30.6907    2.13207e+13
    26        4.40057        81.4971        17.5068    4.00983e+07        30.6826     2.1149e+13
    27        4.40128        81.5552        17.5068    4.00983e+07        30.6745    2.09783e+13
    28        4.40199        81.6134        17.5068    4.00983e+07        30.6664    2.08088e+13
    29        4.40271        81.6716        17.5068    4.00983e+07        30.6583    2.06404e+13
