    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
     0        4.38203             80         15.237     4.1433e+06        30.8891        2.6e+13
     1        4.38274        80.0571         15.237     4.1433e+06        30.8813    2.57984e+13
     2        4.38345        80.1142         15.237     4.1433e+06        30.8735    2.55981e+13
     3        4.38417        80.1713         15.237     4.1433e+06        30.8657     2.5399e+13
     4        4.38488        80.2285         15.237     4.1433e+06        30.8579    2.52012e+13
     5        4.38559        80.2857         15.237     4.1433e+06        30.8501    2.50047e+13
     6        4.38631         80.343         15.237     4.1433e+06        30.8422    2.48093e+13
     7        4.38702        80.4003         15.237     4.1433e+06        30.8344    2.46152e+13
     8        4.38773        80.4577         15.237     4.1433e+06        30.8265    2.44224e+13
     9        4.38844        80.5151         15.237     4.1433e+06        30.8186    2.42307e+13
    10        4.38916        80.5725         15.237     4.1433e+06        30.8108    2.40403e+13
    11        4.38987          80.63         15.237     4.1433e+06        30.8029    2.38511e+13
    12        4.39058        80.6875         15.237     4.1433e+06        30.7949    2.36631e+13
    13         4.3913        80.7451         15.237     4.1433e+06         30.787    2.34763e+13
    14        4.39201        80.8027         15.237     4.1433e+06        30.7791    2.32907e+13
    15        4.39272        80.8603         15.237     4.1433e+06        30.7711    2.31063e+13
    16        4.39344         80.918         15.237     4.1433e+06        30.7632    2.29231e+13
    17        4.39415        80.9757         15.237     4.1433e+06        30.7552    2.27411e+13
    18        4.39486        81.0335         15.237     4.1433e+06        30.7472    2.25602e+13
    19        4.39558        81.0913         15.237     4.1433e+06        30.7392    2.23805e+13
    20        4.39629        81.1491         15.237     4.1433e+06        30.7312     2.2202e+13
    21          4.397         81.207         15.237     4.1433e+06        30.7232    2.20247e+13
    22        4.39771        81.2649         15.237     4.1433e+06        30.7152    2.18485e+13
    23        4.39843        81.3229         15.237     4.1433e+06        30.7071    2.16734e+13
    24        4.39914        81.3809         15.237     4.1433e+06        30.6991    2.14995e+13
    25        4.39985         81.439         15.237     4.1433e+06         30.691    2.13268e+13
    26        4.40057        81.4971         15.237     4.1433e+06        30.6829    2.11551e+13
    27        4.40128        81.5552         15.237     4.1433e+06        30.6748    2.09846e+13
    28        4.40199        81.6134         15.237     4.1433e+06        30.6667    2.08153e+13
    29        4.40271        81.6716         15.237     4.1433e+06        30.6586     2.0647e+13
    30        4.40342        81.7299         15.237     4.1433e+06        30.6505    2.04799e+13
    31        4.40413        81.7882         15.237     4.1433e+06        30.6423    2.03139e+13
    32        4.40485        81.8465         15.237     4.1433e+06        30.6342     2.0149e+13
    33        4.40556        81.9049         15.237     4.1433e+06         30.626    1.99852e+13
    34        4.40627        81.9633         15.237     4.1433e+06        30.6178    1.98225e+13
    35        4.40698        82.0218         15.237     4.1433e+06        30.6097    1.96609e+13
    36         4.4077        82.0803         15.237     4.1433e+06        30.6015    1.95003e+13
    37        4.40841        82.1388         15.237     4.1433e+06        30.5932    1.93409e+13
    38        4.40912        82.1974         15.237     4.1433e+06         30.585    1.91825e+13
    39        4.40984        82.2561         15.237     4.1433e+06        30.5768    1.90252e+13
    40        4.41055        82.3147         15.237     4.1433e+06        30.5685    1.88689e+13
    41        4.41126        82.3735         15.237     4.1433e+06        30.5603    1.87137e+13
    42        4.41198        82.4322         15.237     4.1433e+06         30.552    1.85596e+13
    43        4.41269         82.491         15.237     4.1433e+06        30.5437    1.84065e+13
    44         4.4134        82.5499         15.237     4.1433e+06        30.5354    1.82545e+13
    45        4.41412        82.6088         15.237     4.1433e+06        30.5271    1.81035e+13
    46        4.41483        82.6677         15.237     4.1433e+06        30.5188    1.79536e+13
    47        4.41554        82.7267         15.237     4.1433e+06        30.5105    1.78046e+13
    48        4.41625        82.7857         15.237     4.1433e+06        30.5021    1.76567e+13
    49        4.41697        82.8447         15.237     4.1433e+06        30.4938    1.75099e+13
    50        4.41768        82.9038         15.237     4.1433e+06        30.4854     1.7364e+13
    51        4.41839         82.963         15.237     4.1433e+06         30.477    1.72191e+13
    52        4.41911        83.0221         15.237     4.1433e+06        30.4687    1.70753e+13
    53        4.41982        83.0814         15.237     4.1433e+06        30.4603    1.69324e+13
    54        4.42053        83.1406         15.237     4.1433e+06        30.4518    1.67906e+13
    55        4.42125        83.1999         15.237     4.1433e+06        30.4434    1.66497e+13
    56        4.42196        83.2593         15.237     4.1433e+06         30.435    1.65098e+13
    57        4.42267        83.3187         15.237     4.1433e+06        30.4265     1.6371e+13
    58        4.42339        83.3781         15.237     4.1433e+06        30.4181     1.6233e+13
    59         4.4241        83.4376         15.237     4.1433e+06        30.4096    1.60961e+13
    60        4.42481        83.4971         15.237     4.1433e+06        30.4011    1.59601e+13
    61        4.42553        83.5567         15.237     4.1433e+06        30.3926    1.58251e+13
    62        4.42624        83.6163         15.237     4.1433e+06        30.3841     1.5691e+13
    63        4.42695        83.6759         15.237     4.1433e+06        30.3756    1.55579e+13
    64        4.42766        83.7356         15.237     4.1433e+06        30.3671    1.54257e+13
