    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
     0        4.38203             80        15.0626    3.48031e+06        30.8891        2.6e+13
     1        4.38274        80.0571        15.0626    3.48031e+06        30.8813    2.57974e+13
     2        4.38345        80.1142        15.0626    3.48031e+06        30.8735    2.55961e+13
     3        4.38417        80.1713        15.0626    3.48031e+06        30.8656    2.53961e+13
     4        4.38488        80.2285        15.0626    3.48031e+06        30.8578    2.51973e+13
     5        4.38559        80.2857        15.0626    3.48031e+06        30.8499    2.49999e+13
     6        4.38631         80.343        15.0626    3.48031e+06         30.842    2.48036e+13
     7        4.38702        80.4003        15.0626    3.48031e+06        30.8341    2.46087e+13
     8        4.38773        80.4577        15.0626    3.48031e+06        30.8262     2.4415e+13
     9        4.38844        80.5151        15.0626    3.48031e+06        30.8183    2.42225e+13
    10        4.38916        80.5725        15.0626    3.48031e+06        30.8104    2.40312e+13
    11        4.38987          80.63        15.0626    3.48031e+06        30.8024    2.38412e+13
    12        4.39058        80.6875        15.0626    3.48031e+06        30.7945    2.36525e+13
    13         4.3913        80.7451        15.0626    3.48031e+06        30.7865    2.34649e+13
    14        4.39201        80.8027        15.0626    3.48031e+06        30.7786    2.32786e+13
    15        4.39272        80.8603        15.0626    3.48031e+06        30.7706    2.30935e+13
    16        4.39344         80.918        15.0626    3.48031e+06        30.7626    2.29095e+13
    17        4.39415        80.9757        15.0626    3.48031e+06        30.7546    2.27268e+13
    18        4.39486        81.0335        15.0626    3.48031e+06        30.7465    2.25453e+13
    19        4.39558        81.0913        15.0626    3.48031e+06        30.7385     2.2365e+13
    20        4.39629        81.1491        15.0626    3.48031e+06        30.7305    2.21858e+13
    21          4.397         81.207        15.0626    3.48031e+06        30.7224    2.20079e+13
    22        4.39771        81.2649        15.0626    3.48031e+06        30.7144    2.18311e+13
    23        4.39843        81.3229        15.0626    3.48031e+06        30.7063    2.16554e+13
    24        4.39914        81.3809        15.0626    3.48031e+06        30.6982     2.1481e+13
    25        4.39985         81.439        15.0626    3.48031e+06        30.6901    2.13077e+13
    26        4.40057        81.4971        15.0626    3.48031e+06         30.682    2.11355e+13
    27        4.40128        81.5552        15.0626    3.48031e+06        30.6739    2.09645e+13
    28        4.40199        81.6134        15.0626    3.48031e+06        30.6657    2.07947e+13
    29        4.40271        81.6716        15.0626    3.48031e+06        30.6576    2.06259e+13
    30        4.40342        81.7299        15.0626    3.48031e+06        30.6494    2.04583e+13
    31        4.40413        81.7882        15.0626    3.48031e+06        30.6412    2.02919e+13
    32        4.40485        81.8465        15.0626    3.48031e+06        30.6331    2.01265e+13
    33        4.40556        81.9049        15.0626    3.48031e+06        30.6249    1.99623e+13
    34        4.40627        81.9633        15.0626    3.48031e+06        30.6167    1.97992e+13
    35        4.40698        82.0218        15.0626    3.48031e+06        30.6084    1.96371e+13
    36         4.4077        82.0803        15.0626    3.48031e+06        30.6002    1.94762e+13
    37        4.40841        82.1388        15.0626    3.48031e+06         30.592    1.93164e+13
    38        4.40912        82.1974        15.0626    3.48031e+06        30.5837    1.91576e+13
    39        4.40984        82.2561        15.0626    3.48031e+06        30.5755        1.9e+13
    40        4.41055        82.3147        15.0626    3.48031e+06        30.5672    1.88434e+13
    41        4.41126        82.3735        15.0626    3.48031e+06        30.5589    1.86879e+13
    42        4.41198        82.4322        15.0626    3.48031e+06        30.5506    1.85335e+13
    43        4.41269         82.491        15.0626    3.48031e+06        30.5423    1.83801e+13
    44         4.4134        82.5499        15.0626    3.48031e+06         30.534    1.82278e+13
    45        4.41412        82.6088        15.0626    3.48031e+06        30.5256    1.80765e+13
    46        4.41483        82.6677        15.0626    3.48031e+06        30.5173    1.79263e+13
    47        4.41554        82.7267        15.0626    3.48031e+06        30.5089    1.77771e+13
    48        4.41625        82.7857        15.0626    3.48031e+06        30.5006     1.7629e+13
