    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
     0        4.38203             80        14.9231    3.02699e+06        30.8891        2.6e+13
     1        4.38274        80.0571        14.9231    3.02699e+06        30.8813    2.57974e+13
     2        4.38345        80.1142        14.9231    3.02699e+06        30.8735    2.55961e+13
     3        4.38417        80.1713        14.9231    3.02699e+06        30.8656    2.53961e+13
     4        4.38488        80.2285        14.9231    3.02699e+06        30.8578    2.51973e+13
     5        4.38559        80.2857        14.9231    3.02699e+06        30.8499    2.49999e+13
     6        4.38631         80.343        14.9231    3.02699e+06         30.842    2.48036e+13
     7        4.38702        80.4003        14.9231    3.02699e+06        30.8341    2.46087e+13
     8        4.38773        80.4577        14.9231    3.02699e+06        30.8262     2.4415e+13
     9        4.38844        80.5151        14.9231    3.02699e+06        30.8183    2.42225e+13
    10        4.38916        80.5725        14.9231    3.02699e+06        30.8104    2.40312e+13
    11        4.38987          80.63        14.9231    3.02699e+06        30.8024    2.38412e+13
    12        4.39058        80.6875        14.9231    3.02699e+06        30.7945    2.36525e+13
    13         4.3913        80.7451        14.9231    3.02699e+06        30.7865    2.34649e+13
    14        4.39201        80.8027        14.9231    3.02699e+06        30.7786    2.32786e+13
    15        4.39272        80.8603        14.9231    3.02699e+06        30.7706    2.30935e+13
    16        4.39344         80.918        14.9231    3.02699e+06        30.7626    2.29095e+13
    17        4.39415        80.9757        14.9231    3.02699e+06        30.7546    2.27268e+13
    18        4.39486        81.0335        14.9231    3.02699e+06        30.7465    2.25453e+13
    19        4.39558        81.0913        14.9231    3.02699e+06        30.7385     2.2365e+13
    20        4.39629        81.1491        14.9231    3.02699e+06        30.7305    2.21858e+13
    21          4.397         81.207        14.9231    3.02699e+06        30.7224    2.20079e+13
    22        4.39771        81.2649        14.9231    3.02699e+06        30.7144    2.18311e+13
    23        4.39843        81.3229        14.9231    3.02699e+06        30.7063    2.16554e+13
    24        4.39914        81.3809        14.9231    3.02699e+06        30.6982     2.1481e+13
    25        4.39985         81.439        14.9231    3.02699e+06        30.6901    2.13077e+13
    26        4.40057        81.4971        14.9231    3.02699e+06         30.682    2.11355e+13
    27        4.40128        81.5552        14.9231    3.02699e+06        30.6739    2.09645e+13
    28        4.40199        81.6134        14.9231    3.02699e+06        30.6657    2.07947e+13
    29        4.40271        81.6716        14.9231    3.02699e+06        30.6576    2.06259e+13
    30        4.40342        81.7299        14.9231    3.02699e+06        30.6494    2.04583e+13
    31        4.40413        81.7882        14.9231    3.02699e+06        30.6412    2.02919e+13
    32        4.40485        81.8465        14.9231    3.02699e+06        30.6331    2.01265e+13
    33        4.40556        81.9049        14.9231    3.02699e+06        30.6249    1.99623e+13
    34        4.40627        81.9633        14.9231    3.02699e+06        30.6167    1.97992e+13
    35        4.40698        82.0218        14.9231    3.02699e+06        30.6084    1.96371e+13
    36         4.4077        82.0803        14.9231    3.02699e+06        30.6002    1.94762e+13
    37        4.40841        82.1388        14.9231    3.02699e+06         30.592    1.93164e+13
    38        4.40912        82.1974        14.9231    3.02699e+06        30.5837    1.91576e+13
    39        4.40984        82.2561        14.9231    3.02699e+06        30.5755        1.9e+13
    40        4.41055        82.3147        14.9231    3.02699e+06        30.5672    1.88434e+13
    41        4.41126        82.3735        14.9231    3.02699e+06        30.5589    1.86879e+13
    42        4.41198        82.4322        14.9231    3.02699e+06        30.5506    1.85335e+13
    43        4.41269         82.491        14.9231    3.02699e+06        30.5423    1.83801e+13
    44         4.4134        82.5499        14.9231    3.02699e+06         30.534    1.82278e+13
    45        4.41412        82.6088        14.9231    3.02699e+06        30.5256    1.80765e+13
    46        4.41483        82.6677        14.9231    3.02699e+06        30.5173    1.79263e+13
    47        4.41554        82.7267        14.9231    3.02699e+06        30.5089    1.77771e+13
    48        4.41625        82.7857        14.9231    3.02699e+06        30.5006     1.7629e+13
    49        4.41697        82.8447        14.9231    3.02699e+06        30.4922    1.74819e+13
    50        4.41768        82.9038        14.9231    3.02699e+06        30.4838    1.73358e+13
    51        4.41839         82.963        14.9231    3.02699e+06        30.4754    1.71907e+13
    52        4.41911        83.0221        14.9231    3.02699e+06         30.467    1.70467e+13
    53        4.41982        83.0814        14.9231    3.02699e+06        30.4585    1.69036e+13
    54        4.42053        83.1406        14.9231    3.02699e+06        30.4501    1.67616e+13
    55        4.42125        83.1999        14.9231    3.02699e+06        30.4417    1.66206e+13
    56        4.42196        83.2593        14.9231    3.02699e+06        30.4332    1.64805e+13
    57        4.42267        83.3187        14.9231    3.02699e+06        30.4247    1.63415e+13
    58        4.42339        83.3781        14.9231    3.02699e+06        30.4162    1.62034e+13
    59         4.4241        83.4376        14.9231    3.02699e+06        30.4077    1.60663e+13
    60        4.42481        83.4971        14.9231    3.02699e+06        30.3992    1.59302e+13
    61        4.42553        83.5567        14.9231    3.02699e+06        30.3907    1.57951e+13
    62        4.42624        83.6163        14.9231    3.02699e+06        30.3822    1.56609e+13
    63        4.42695        83.6759        14.9231    3.02699e+06        30.3736    1.55277e+13
    64        4.42766        83.7356        14.9231    3.02699e+06        30.3651    1.53954e+13
    65        4.42838        83.7954        14.9231    3.02699e+06        30.3565    1.52641e+13
    66        4.42909        83.8551        14.9231    3.02699e+06        30.3479    1.51338e+13
    67         4.4298        83.9149        14.9231    3.02699e+06        30.3394    1.50043e+13
    68        4.43052        83.9748        14.9231    3.02699e+06        30.3308    1.48759e+13
    69        4.43123        84.0347        14.9231    3.02699e+06        30.3221    1.47483e+13
    70        4.43194        84.0947        14.9231    3.02699e+06        30.3135    1.46217e+13
    71        4.43266        84.1546        14.9231    3.02699e+06        30.3049     1.4496e+13
    72        4.43337        84.2147        14.9231    3.02699e+06        30.2962    1.43712e+13
    73        4.43408        84.2747        14.9231    3.02699e+06        30.2876    1.42473e+13
    74         4.4348        84.3349        14.9231    3.02699e+06        30.2789    1.41243e+13
    75        4.43551         84.395        14.9231    3.02699e+06        30.2702    1.40022e+13
    76        4.43622        84.4552        14.9231    3.02699e+06        30.2615     1.3881e+13
    77        4.43693        84.5155        14.9231    3.02699e+06        30.2528    1.37607e+13
    78        4.43765        84.5758        14.9231    3.02699e+06        30.2441    1.36413e+13
    79        4.43836        84.6361        14.9231    3.02699e+06        30.2354    1.35228e+13
    80        4.43907        84.6965        14.9231    3.02699e+06        30.2267    1.34051e+13
    81        4.43979        84.7569        14.9231    3.02699e+06        30.2179    1.32883e+13
    82         4.4405        84.8173        14.9231    3.02699e+06        30.2091    1.31724e+13
    83        4.44121        84.8778        14.9231    3.02699e+06        30.2004    1.30574e+13
    84        4.44193        84.9384        14.9231    3.02699e+06        30.1916    1.29432e+13
    85        4.44264         84.999        14.9231    3.02699e+06        30.1828    1.28298e+13
    86        4.44335        85.0596        14.9231    3.02699e+06         30.174    1.27173e+13
    87        4.44407        85.1203        14.9231    3.02699e+06        30.1652    1.26056e+13
    88        4.44478         85.181        14.9231    3.02699e+06        30.1563    1.24948e+13
    89        4.44549        85.2418        14.9231    3.02699e+06        30.1475    1.23848e+13
    90         4.4462        85.3026        14.9231    3.02699e+06        30.1386    1.22757e+13
    91        4.44692        85.3634        14.9231    3.02699e+06        30.1298    1.21673e+13
    92        4.44763        85.4243        14.9231    3.02699e+06        30.1209    1.20598e+13
    93        4.44834        85.4853        14.9231    3.02699e+06         30.112    1.19531e+13
    94        4.44906        85.5462        14.9231    3.02699e+06        30.1031    1.18472e+13
    95        4.44977        85.6073        14.9231    3.02699e+06        30.0942    1.17421e+13
    96        4.45048        85.6683        14.9231    3.02699e+06        30.0853    1.16378e+13
    97         4.4512        85.7295        14.9231    3.02699e+06        30.0763    1.15343e+13
    98        4.45191        85.7906        14.9231    3.02699e+06        30.0674    1.14316e+13
    99        4.45262        85.8518        14.9231    3.02699e+06        30.0584    1.13297e+13
   100        4.45334         85.913        14.9231    3.02699e+06        30.0495    1.12286e+13
   101        4.45405        85.9743        14.9231    3.02699e+06        30.0405    1.11282e+13
   102        4.45476        86.0357        14.9231    3.02699e+06        30.0315    1.10286e+13
   103        4.45547         86.097        14.9231    3.02699e+06        30.0225    1.09298e+13
   104        4.45619        86.1585        14.9231    3.02699e+06        30.0135    1.08317e+13
   105         4.4569        86.2199        14.9231    3.02699e+06        30.0045    1.07344e+13
   106        4.45761        86.2814        14.9231    3.02699e+06        29.9954    1.06379e+13
   107        4.45833         86.343        14.9231    3.02699e+06        29.9864    1.05421e+13
   108        4.45904        86.4046        14.9231    3.02699e+06        29.9773    1.04471e+13
   109        4.45975        86.4662        14.9231    3.02699e+06        29.9683    1.03528e+13
   110        4.46047        86.5279        14.9231    3.02699e+06        29.9592    1.02592e+13
   111        4.46118        86.5896        14.9231    3.02699e+06        29.9501    1.01663e+13
   112        4.46189        86.6514        14.9231    3.02699e+06         29.941    1.00742e+13
   113        4.46261        86.7132        14.9231    3.02699e+06        29.9319    9.98284e+12
   114        4.46332         86.775        14.9231    3.02699e+06        29.9228    9.89217e+12
   115        4.46403        86.8369        14.9231    3.02699e+06        29.9136    9.80221e+12
   116        4.46475        86.8989        14.9231    3.02699e+06        29.9045    9.71297e+12
   117        4.46546        86.9609        14.9231    3.02699e+06        29.8953    9.62443e+12
   118        4.46617        87.0229        14.9231    3.02699e+06        29.8862    9.53659e+12
   119        4.46688         87.085        14.9231    3.02699e+06         29.877    9.44945e+12
   120         4.4676        87.1471        14.9231    3.02699e+06        29.8678      9.363e+12
   121        4.46831        87.2093        14.9231    3.02699e+06        29.8586    9.27724e+12
   122        4.46902        87.2715        14.9231    3.02699e+06        29.8494    9.19216e+12
   123        4.46974        87.3337        14.9231    3.02699e+06        29.8401    9.10776e+12
   124        4.47045         87.396        14.9231    3.02699e+06        29.8309    9.02404e+12
   125        4.47116        87.4584        14.9231    3.02699e+06        29.8217    8.94099e+12
   126        4.47188        87.5208        14.9231    3.02699e+06        29.8124     8.8586e+12
   127        4.47259        87.5832        14.9231    3.02699e+06        29.8031    8.77688e+12
   128         4.4733        87.6457        14.9231    3.02699e+06        29.7939    8.69582e+12
   129        4.47402        87.7082        14.9231    3.02699e+06        29.7846    8.61541e+12
   130        4.47473        87.7708        14.9231    3.02699e+06        29.7753    8.53566e+12
   131        4.47544        87.8334        14.9231    3.02699e+06         29.766    8.45655e+12
   132        4.47615         87.896        14.9231    3.02699e+06        29.7566    8.37808e+12
   133        4.47687        87.9587        14.9231    3.02699e+06        29.7473    8.30025e+12
   134        4.47758        88.0215        14.9231    3.02699e+06         29.738    8.22305e+12
   135        4.47829        88.0843        14.9231    3.02699e+06        29.7286    8.14648e+12
   136        4.47901        88.1471        14.9231    3.02699e+06        29.7192    8.07054e+12
   137        4.47972          88.21        14.9231    3.02699e+06        29.7099    7.99522e+12
   138        4.48043        88.2729        14.9231    3.02699e+06        29.7005    7.92052e+12
   139        4.48115        88.3359        14.9231    3.02699e+06        29.6911    7.84643e+12
   140        4.48186        88.3989        14.9231    3.02699e+06        29.6817    7.77295e+12
   141        4.48257        88.4619        14.9231    3.02699e+06        29.6723    7.70007e+12
   142        4.48329         88.525        14.9231    3.02699e+06        29.6628     7.6278e+12
   143          4.484        88.5882        14.9231    3.02699e+06        29.6534    7.55613e+12
   144        4.48471        88.6514        14.9231    3.02699e+06        29.6439    7.48504e+12
   145        4.48542        88.7146        14.9231    3.02699e+06        29.6345    7.41455e+12
   146        4.48614        88.7779        14.9231    3.02699e+06         29.625    7.34465e+12
   147        4.48685        88.8412        14.9231    3.02699e+06        29.6155    7.27532e+12
   148        4.48756        88.9046        14.9231    3.02699e+06         29.606    7.20658e+12
   149        4.48828         88.968        14.9231    3.02699e+06        29.5965     7.1384e+12
   150        4.48899        89.0315        14.9231    3.02699e+06         29.587     7.0708e+12
   151         4.4897         89.095        14.9231    3.02699e+06        29.5775    7.00377e+12
   152        4.49042        89.1586        14.9231    3.02699e+06        29.5679    6.93729e+12
   153        4.49113        89.2222        14.9231    3.02699e+06        29.5584    6.87138e+12
   154        4.49184        89.2858        14.9231    3.02699e+06        29.5488    6.80602e+12
   155        4.49256        89.3495        14.9231    3.02699e+06        29.5393    6.74121e+12
   156        4.49327        89.4132        14.9231    3.02699e+06        29.5297    6.67695e+12
   157        4.49398         89.477        14.9231    3.02699e+06        29.5201    6.61324e+12
   158        4.49469        89.5409        14.9231    3.02699e+06        29.5105    6.55006e+12
   159        4.49541        89.6047        14.9231    3.02699e+06        29.5009    6.48742e+12
   160        4.49612        89.6686        14.9231    3.02699e+06        29.4913    6.42531e+12
   161        4.49683        89.7326        14.9231    3.02699e+06        29.4816    6.36373e+12
   162        4.49755        89.7966        14.9231    3.02699e+06         29.472    6.30268e+12
   163        4.49826        89.8607        14.9231    3.02699e+06        29.4623    6.24215e+12
   164        4.49897        89.9248        14.9231    3.02699e+06        29.4527    6.18214e+12
   165        4.49969        89.9889        14.9231    3.02699e+06         29.443    6.12264e+12
   166         4.5004        90.0531        14.9231    3.02699e+06        29.4333    6.06365e+12
   167        4.50111        90.1174        14.9231    3.02699e+06        29.4236    6.00517e+12
   168        4.50183        90.1816        14.9231    3.02699e+06        29.4139    5.94719e+12
   169        4.50254         90.246        14.9231    3.02699e+06        29.4042    5.88971e+12
   170        4.50325        90.3103        14.9231    3.02699e+06        29.3945    5.83273e+12
   171        4.50397        90.3748        14.9231    3.02699e+06        29.3848    5.77624e+12
   172        4.50468        90.4392        14.9231    3.02699e+06         29.375    5.72024e+12
   173        4.50539        90.5038        14.9231    3.02699e+06        29.3653    5.66473e+12
   174         4.5061        90.5683        14.9231    3.02699e+06        29.3555     5.6097e+12
   175        4.50682        90.6329        14.9231    3.02699e+06        29.3457    5.55515e+12
   176        4.50753        90.6976        14.9231    3.02699e+06         29.336    5.50107e+12
   177        4.50824        90.7623        14.9231    3.02699e+06        29.3262    5.44747e+12
   178        4.50896         90.827        14.9231    3.02699e+06        29.3164    5.39434e+12
   179        4.50967        90.8918        14.9231    3.02699e+06        29.3066    5.34167e+12
   180        4.51038        90.9566        14.9231    3.02699e+06        29.2967    5.28946e+12
   181         4.5111        91.0215        14.9231    3.02699e+06        29.2869    5.23771e+12
   182        4.51181        91.0865        14.9231    3.02699e+06        29.2771    5.18642e+12
   183        4.51252        91.1514        14.9231    3.02699e+06        29.2672    5.13558e+12
   184        4.51324        91.2165        14.9231    3.02699e+06        29.2574    5.08519e+12
   185        4.51395        91.2815        14.9231    3.02699e+06        29.2475    5.03524e+12
   186        4.51466        91.3466        14.9231    3.02699e+06        29.2376    4.98574e+12
   187        4.51537        91.4118        14.9231    3.02699e+06        29.2277    4.93667e+12
   188        4.51609         91.477        14.9231    3.02699e+06        29.2178    4.88805e+12
   189         4.5168        91.5423        14.9231    3.02699e+06        29.2079    4.83985e+12
   190        4.51751        91.6076        14.9231    3.02699e+06         29.198    4.79208e+12
   191        4.51823        91.6729        14.9231    3.02699e+06        29.1881    4.74474e+12
   192        4.51894        91.7383        14.9231    3.02699e+06        29.1781    4.69782e+12
   193        4.51965        91.8037        14.9231    3.02699e+06        29.1682    4.65132e+12
   194        4.52037        91.8692        14.9231    3.02699e+06        29.1582    4.60524e+12
   195        4.52108        91.9348        14.9231    3.02699e+06        29.1482    4.55957e+12
   196        4.52179        92.0004        14.9231    3.02699e+06        29.1383    4.51431e+12
   197        4.52251         92.066        14.9231    3.02699e+06        29.1283    4.46946e+12
   198        4.52322        92.1317        14.9231    3.02699e+06        29.1183    4.42502e+12
   199        4.52393        92.1974        14.9231    3.02699e+06        29.1083    4.38097e+12
   200        4.52464        92.2631        14.9231    3.02699e+06        29.0983    4.33732e+12
   201        4.52536         92.329        14.9231    3.02699e+06        29.0883    4.29407e+12
   202        4.52607        92.3948        14.9231    3.02699e+06        29.0782    4.25121e+12
   203        4.52678        92.4607        14.9231    3.02699e+06        29.0682    4.20874e+12
   204         4.5275        92.5267        14.9231    3.02699e+06        29.0581    4.16665e+12
   205        4.52821        92.5927        14.9231    3.02699e+06        29.0481    4.12495e+12
   206        4.52892        92.6587        14.9231    3.02699e+06         29.038    4.08363e+12
   207        4.52964        92.7248        14.9231    3.02699e+06        29.0279    4.04268e+12
   208        4.53035         92.791        14.9231    3.02699e+06        29.0178    4.00211e+12
   209        4.53106        92.8572        14.9231    3.02699e+06        29.0077    3.96191e+12
   210        4.53178        92.9234        14.9231    3.02699e+06        28.9976    3.92208e+12
   211        4.53249        92.9897        14.9231    3.02699e+06        28.9875    3.88262e+12
   212         4.5332         93.056        14.9231    3.02699e+06        28.9774    3.84352e+12
   213        4.53391        93.1224        14.9231    3.02699e+06        28.9673    3.80477e+12
   214        4.53463        93.1888        14.9231    3.02699e+06        28.9571    3.76639e+12
   215        4.53534        93.2553        14.9231    3.02699e+06         28.947    3.72836e+12
   216        4.53605        93.3218        14.9231    3.02699e+06        28.9368    3.69068e+12
   217        4.53677        93.3884        14.9231    3.02699e+06        28.9267    3.65335e+12
   218        4.53748         93.455        14.9231    3.02699e+06        28.9165    3.61636e+12
   219        4.53819        93.5217        14.9231    3.02699e+06        28.9063    3.57972e+12
   220        4.53891        93.5884        14.9231    3.02699e+06        28.8961    3.54342e+12
   221        4.53962        93.6552        14.9231    3.02699e+06        28.8859    3.50746e+12
   222        4.54033         93.722        14.9231    3.02699e+06        28.8757    3.47183e+12
   223        4.54105        93.7888        14.9231    3.02699e+06        28.8655    3.43654e+12
   224        4.54176        93.8557        14.9231    3.02699e+06        28.8553    3.40157e+12
   225        4.54247        93.9227        14.9231    3.02699e+06         28.845    3.36693e+12
   226        4.54319        93.9897        14.9231    3.02699e+06        28.8348    3.33262e+12
   227         4.5439        94.0567        14.9231    3.02699e+06        28.8245    3.29863e+12
   228        4.54461        94.1238        14.9231    3.02699e+06        28.8143    3.26495e+12
   229        4.54532         94.191        14.9231    3.02699e+06         28.804     3.2316e+12
   230        4.54604        94.2582        14.9231    3.02699e+06        28.7937    3.19856e+12
   231        4.54675        94.3254        14.9231    3.02699e+06        28.7834    3.16583e+12
   232        4.54746        94.3927        14.9231    3.02699e+06        28.7731    3.13341e+12
   233        4.54818          94.46        14.9231    3.02699e+06        28.7628    3.10129e+12
   234        4.54889        94.5274        14.9231    3.02699e+06        28.7525    3.06948e+12
   235         4.5496        94.5948        14.9231    3.02699e+06        28.7422    3.03797e+12
   236        4.55032        94.6623        14.9231    3.02699e+06        28.7319    3.00676e+12
   237        4.55103        94.7298        14.9231    3.02699e+06        28.7216    2.97585e+12
   238        4.55174        94.7974        14.9231    3.02699e+06        28.7112    2.94523e+12
   239        4.55246         94.865        14.9231    3.02699e+06        28.7009     2.9149e+12
   240        4.55317        94.9327        14.9231    3.02699e+06        28.6905    2.88486e+12
   241        4.55388        95.0004        14.9231    3.02699e+06        28.6801    2.85511e+12
   242        4.55459        95.0682        14.9231    3.02699e+06        28.6698    2.82565e+12
   243        4.55531         95.136        14.9231    3.02699e+06        28.6594    2.79646e+12
