    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
    83        4.44121        84.8778         17.436    3.73549e+07        30.2012    1.30682e+13
    84        4.44193        84.9384         17.436    3.73549e+07        30.1924    1.29539e+13
    85        4.44264         84.999         17.436    3.73549e+07        30.1836    1.28406e+13
    86        4.44335        85.0596         17.436    3.73549e+07        30.1748    1.27281e+13
    87        4.44407        85.1203         17.436    3.73549e+07         30.166    1.26164e+13
    88        4.44478         85.181         17.436    3.73549e+07        30.1572    1.25055e+13
    89        4.44549        85.2418         17.436    3.73549e+07        30.1484    1.23955e+13
    90         4.4462        85.3026         17.436    3.73549e+07        30.1395    1.22863e+13
    91        4.44692        85.3634         17.436    3.73549e+07        30.1306     1.2178e+13
    92        4.44763        85.4243         17.436    3.73549e+07        30.1218    1.20704e+13
    93        4.44834        85.4853         17.436    3.73549e+07        30.1129    1.19637e+13
    94        4.44906        85.5462         17.436    3.73549e+07         30.104    1.18578e+13
    95        4.44977        85.6073         17.436    3.73549e+07        30.0951    1.17526e+13
    96        4.45048        85.6683         17.436    3.73549e+07        30.0862    1.16483e+13
    97         4.4512        85.7295         17.436    3.73549e+07        30.0773    1.15448e+13
    98        4.45191        85.7906         17.436    3.73549e+07        30.0683     1.1442e+13
    99        4.45262        85.8518         17.436    3.73549e+07        30.0594    1.13401e+13
   100        4.45334         85.913         17.436    3.73549e+07        30.0504    1.12389e+13
   101        4.45405        85.9743         17.436    3.73549e+07        30.0414    1.11385e+13
   102        4.45476        86.0357         17.436    3.73549e+07        30.0324    1.10389e+13
   103        4.45547         86.097         17.436    3.73549e+07        30.0234      1.094e+13
   104        4.45619        86.1585         17.436    3.73549e+07        30.0144    1.08419e+13
   105         4.4569        86.2199         17.436    3.73549e+07        30.0054    1.07446e+13
   106        4.45761        86.2814         17.436    3.73549e+07        29.9964     1.0648e+13
   107        4.45833         86.343         17.436    3.73549e+07        29.9874    1.05521e+13
   108        4.45904        86.4046         17.436    3.73549e+07        29.9783     1.0457e+13
   109        4.45975        86.4662         17.436    3.73549e+07        29.9692    1.03627e+13
   110        4.46047        86.5279         17.436    3.73549e+07        29.9602    1.02691e+13
   111        4.46118        86.5896         17.436    3.73549e+07        29.9511    1.01762e+13
   112        4.46189        86.6514         17.436    3.73549e+07         29.942     1.0084e+13
   113        4.46261        86.7132         17.436    3.73549e+07        29.9329    9.99258e+12
   114        4.46332         86.775         17.436    3.73549e+07        29.9237    9.90186e+12
   115        4.46403        86.8369         17.436    3.73549e+07        29.9146    9.81185e+12
   116        4.46475        86.8989         17.436    3.73549e+07        29.9055    9.72255e+12
   117        4.46546        86.9609         17.436    3.73549e+07        29.8963    9.63396e+12
   118        4.46617        87.0229         17.436    3.73549e+07        29.8871    9.54606e+12
   119        4.46688         87.085         17.436    3.73549e+07         29.878    9.45886e+12
   120         4.4676        87.1471         17.436    3.73549e+07        29.8688    9.37236e+12
   121        4.46831        87.2093         17.436    3.73549e+07        29.8596    9.28654e+12
   122        4.46902        87.2715         17.436    3.73549e+07        29.8504    9.20141e+12
   123        4.46974        87.3337         17.436    3.73549e+07        29.8412    9.11695e+12
   124        4.47045         87.396         17.436    3.73549e+07        29.8319    9.03317e+12
   125        4.47116        87.4584         17.436    3.73549e+07        29.8227    8.95006e+12
   126        4.47188        87.5208         17.436    3.73549e+07        29.8134    8.86762e+12
   127        4.47259        87.5832         17.436    3.73549e+07        29.8042    8.78584e+12
   128         4.4733        87.6457         17.436    3.73549e+07        29.7949    8.70472e+12
   129        4.47402        87.7082         17.436    3.73549e+07        29.7856    8.62425e+12
